# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = prior_model
# start_datetime = 2024-05-10 14:43:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpb4piadjj/cjld177g.json
# init = 2 (Default)
# random
#   seed = 123456
# output
#   file = /GA/Data-Analytics/lab5/samples/prior-20240510144355.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = 
lp__,accept_stat__,alpha,theta,accidents.1,accidents.2,accidents.3,accidents.4,accidents.5,accidents.6,accidents.7,accidents.8,accidents.9,accidents.10
0,0,2.41626,0.00394635,16,19,19,27,27,27,21,25,37,32
0,0,3.18473,0.00356642,14,19,19,22,19,19,26,33,32,40
0,0,3.5503,0.00234391,14,17,14,15,13,18,13,20,24,28
0,0,2.82267,0.00279163,18,11,16,9,11,14,19,19,20,24
0,0,0.321986,0.00371828,15,19,21,12,21,21,28,16,24,19
0,0,2.50036,0.00150965,7,6,11,6,9,10,16,20,9,11
0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,0.94827,0.00184898,5,8,12,15,14,15,15,11,12,15
0,0,2.85231,0.0032186,20,18,32,18,23,19,21,12,35,37
0,0,1.73793,0.00235379,11,12,13,16,13,18,12,16,21,17
0,0,2.46537,0.00281996,12,14,12,25,19,12,19,19,19,18
0,0,1.59986,0.00313039,12,18,16,19,20,20,18,26,21,32
0,0,-0.681249,0.00113358,4,1,4,6,5,5,4,10,12,8
0,0,1.28654,0.00326758,18,17,14,27,21,25,15,19,25,21
0,0,2.7135,0.00225151,11,15,16,14,14,10,14,15,19,12
0,0,1.53375,0.0039063,16,17,22,16,30,20,22,24,33,30
0,0,0.655212,0.00132406,6,2,10,6,14,10,9,6,8,9
0,0,1.5359,0.00223123,8,11,16,7,13,14,14,25,15,22
0,0,1.52504,0.00389129,13,19,28,32,33,23,29,26,42,29
0,0,2.45546,0.00290349,10,15,26,18,20,18,15,28,25,29
0,0,0.712638,0.00446993,11,20,26,30,23,20,25,34,45,27
0,0,3.24467,0.00402475,27,14,19,36,30,21,22,25,21,28
0,0,3.33734,0.00139382,10,7,9,12,9,15,11,14,15,12
0,0,2.81427,0.00122295,5,4,9,10,11,18,4,13,17,12
0,0,2.63573,0.00573029,27,41,30,33,43,42,34,40,45,45
0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,2.41772,0.00107777,5,8,5,6,11,4,9,10,12,9
0,0,3.19557,0.000240302,4,2,4,5,9,3,5,6,6,1
0,0,-0.527143,0.00423667,18,25,20,15,22,20,35,28,23,26
0,0,0.0326749,0.00681579,21,29,36,31,43,56,38,42,48,53
0,0,4.62576,0.00504836,20,24,30,27,43,33,45,33,41,40
0,0,1.11748,0.00181459,9,6,12,17,14,13,16,8,14,16
0,0,4.41935,0.00272861,7,12,21,18,25,22,20,24,28,33
0,0,1.7563,0.00688876,37,30,32,32,41,40,46,50,51,44
0,0,1.73167,0.00278777,7,6,9,26,26,19,21,13,19,21
0,0,3.89197,0.00739551,19,34,31,43,29,54,62,41,57,45
0,0,4.23254,0.00210185,10,22,10,17,19,13,15,18,13,25
0,0,1.88209,0.00360024,21,12,25,19,25,24,13,23,31,32
0,0,1.09871,0.00369723,13,19,15,21,25,36,21,21,24,21
0,0,3.59841,0.00452322,21,26,19,26,31,31,27,43,41,44
0,0,1.63243,0.00412524,19,22,24,21,22,23,30,30,27,29
0,0,2.35535,0.00264596,15,14,13,17,16,17,20,27,25,22
0,0,1.68539,0.00157343,6,12,13,14,11,12,7,7,10,13
0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,2.88373,0.002648,7,8,6,15,23,15,24,21,22,18
0,0,3.2434,0.00132519,11,8,8,9,13,5,7,16,10,8
0,0,1.66617,0.00657107,36,21,38,49,44,37,31,32,53,39
0,0,3.20406,0.00126973,1,5,7,16,9,14,12,12,13,9
0,0,3.08578,0.00406159,24,25,21,30,24,26,35,30,45,44
0,0,2.07219,0.00298626,6,24,16,17,24,25,14,17,21,29
0,0,2.54866,0.00282037,11,17,13,20,14,20,17,10,25,21
0,0,1.75558,0.00390163,19,20,25,24,25,33,29,17,32,30
0,0,3.11701,0.00284865,10,14,12,26,15,14,19,25,34,28
0,0,2.63729,0.00210319,12,6,11,10,11,20,24,14,22,23
0,0,3.19914,0.00326306,24,18,22,18,17,19,21,26,32,30
0,0,1.48929,0.00599125,37,29,33,36,36,42,28,21,44,56
0,0,2.55743,0.00400507,14,30,19,20,22,25,24,32,39,32
0,0,2.17604,0.00203825,8,10,12,12,12,17,11,12,14,13
0,0,1.89109,0.00177512,6,11,12,13,6,13,14,12,19,11
0,0,2.54755,0.00394459,16,16,21,20,26,29,17,28,36,25
0,0,0.670139,0.0033165,16,11,12,20,17,33,25,24,24,26
0,0,2.70188,0.00341248,13,17,15,28,25,17,20,26,34,30
0,0,2.47182,0.00361259,23,14,18,29,18,10,24,23,29,34
0,0,0.844337,0.0058571,19,23,39,38,30,39,20,40,41,45
0,0,1.32927,0.00167769,8,13,13,11,19,19,10,18,16,19
0,0,1.50439,0.00351046,21,19,27,23,29,20,26,25,34,28
0,0,1.17457,0.00399159,9,17,22,19,26,26,14,27,29,23
0,0,1.37465,0.00351267,18,17,15,22,20,22,18,25,23,29
0,0,1.99636,0.00162901,9,5,14,13,8,10,11,10,7,15
0,0,1.10589,0.00234897,11,11,6,16,10,11,11,12,17,15
0,0,2.33143,0.00166826,5,14,16,6,13,8,14,10,17,15
0,0,1.76534,0.00185997,5,6,14,11,9,8,10,18,22,11
0,0,0.931792,0.00337197,11,15,19,25,20,21,24,23,26,24
0,0,0.364777,0.00207646,6,14,11,12,13,17,11,16,11,18
0,0,2.476,0.00255472,7,16,12,17,13,18,13,18,21,27
0,0,1.03259,0.00155774,10,10,9,11,15,10,7,3,12,8
0,0,0.590951,0.00409333,19,12,24,19,33,25,25,28,40,23
0,0,3.35566,0.00444874,23,21,33,27,32,21,33,29,33,35
0,0,3.53964,0.00175863,13,14,10,20,10,16,16,7,21,19
0,0,0.754156,0.0042252,20,23,18,29,27,21,32,33,31,30
0,0,2.71544,0.00502248,14,26,27,32,29,43,31,27,39,45
0,0,3.51236,0.00320637,20,20,18,26,25,31,18,31,27,31
0,0,3.49359,0.0013051,12,17,4,14,10,15,15,6,15,14
0,0,1.55727,0.00340395,17,16,14,28,14,16,25,17,31,21
0,0,2.66938,0.0042111,31,15,25,28,28,23,29,22,42,34
0,0,1.21536,0.002637,14,15,13,5,13,21,16,17,15,30
0,0,1.46143,0.00248891,11,12,9,9,15,20,17,14,22,24
0,0,1.70995,0.00554344,23,19,27,32,31,34,32,37,40,43
0,0,5.65139,0.00217013,12,14,19,14,25,16,18,18,21,22
0,0,0.993245,0.00118907,9,7,6,7,7,7,15,4,4,8
0,0,1.80521,0.00171619,10,7,7,10,11,7,11,15,11,10
0,0,1.81514,0.00334744,12,14,11,20,24,24,31,21,32,23
0,0,3.97568,0.0058369,29,33,28,46,35,44,33,30,55,51
0,0,0.340074,0.00255546,10,13,13,14,13,16,14,16,20,21
0,0,2.14138,0.00416512,24,23,24,22,31,29,35,28,36,31
0,0,2.33306,0.00326539,12,26,17,21,18,24,20,26,28,26
0,0,3.40755,0.00231719,15,22,14,18,8,22,16,17,23,15
0,0,2.4775,0.00347501,9,21,28,31,25,27,29,21,35,29
0,0,1.4307,0.00019527,0,2,2,0,2,4,4,4,3,2
0,0,2.86033,0.00166617,11,9,9,20,10,16,16,18,15,13
0,0,0.895942,0.00393984,13,19,26,23,20,24,27,36,29,27
0,0,1.11289,0.00196831,10,11,7,16,8,9,11,13,22,11
0,0,2.04635,0.00223376,16,9,9,12,16,15,9,12,22,15
0,0,3.83391,0.00410591,16,24,25,24,33,30,30,28,31,31
0,0,0.481461,0.00463316,21,15,18,31,32,30,28,29,33,32
0,0,2.95919,0.000517371,4,5,11,4,3,6,4,3,7,5
0,0,1.99103,0.00420092,10,18,20,29,26,29,27,27,30,46
0,0,1.47521,0.00378096,11,21,30,23,26,20,31,26,26,19
0,0,2.05236,0.001149,6,6,6,8,7,9,8,14,13,8
0,0,0.995874,0.00129918,6,12,8,8,6,8,7,14,10,10
0,0,3.86164,0.00523786,19,24,40,21,35,35,34,33,37,45
0,0,1.39808,0.00238811,13,16,13,16,17,17,14,16,19,19
0,0,2.30434,0.0013838,5,9,12,14,11,9,11,12,14,10
0,0,2.17934,0.00251467,12,13,14,22,16,22,21,12,25,20
0,0,1.08934,0.00206305,7,12,15,15,9,19,11,13,14,13
0,0,1.84582,0.00141758,9,8,9,14,10,5,11,13,12,11
